vendor_name,partner_detail_id,thea_id,po_fill_rate_qty_level,po_fill_rate_ucode_level,on_time_delivery_rate,median_lead_time,perfect_order_rate,expired_near_expiry_items_received,damaged_items_received,pr_count
MANKIND PHARMA LTD,32198,th401,65.57,51.56,100.00,1.00,71.43,0.00,0.00,19.00
J B CHEMICALS PHARMACEUTICAL LTD,31279,th401,65.03,75.95,84.91,3.00,38.24,0.00,0.00,207.00
SINGLAMEDICOS PHARMA SOLUTIONS PRIVATE LIMITED,32241,th401,64.96,63.73,100.00,1.00,30.43,0.00,0.00,108.00
ABBOTT INDIA LIMITED,31240,th401,64.57,48.11,99.36,2.20,33.33,0.00,0.00,49.00
LUPIN LIMITED,31214,th401,64.23,54.25,99.02,2.70,21.21,0.00,0.00,264.00
JMS MARKETING PRIVATE LIMITED,31239,th401,62.61,45.45,100.00,1.00,81.82,0.00,0.00,5.00
MEYER ORGANICS PRIVATE LIMITED,31254,th401,61.54,81.82,51.58,5.00,23.81,0.00,0.00,119.00
CIPLA LTD,7130,th401,55.55,71.58,71.34,4.00,16.67,0.00,0.00,1449.00
HEALTH CARE AGENCY,32141,th401,54.57,50.00,100.00,1.00,0.00,0.00,0.00,2.00
ASHIRWAD DISTRIBUTORS (A UNIT OF AWPSPL) (AR-NAG-AMR),37895,th401,54.48,71.43,0.00,5.00,0.00,0.00,0.00,1.00
SUN PHARMA DISTRIBUTORS LIMITED,37156,th401,53.82,51.43,99.18,2.00,25.00,0.00,0.00,36.00
AJANTA PHARMA LTD,2037,th401,52.31,88.52,100.00,2.00,29.41,0.00,0.00,139.00
Abbott Healthcare Private Limited,6851,th401,50.98,19.43,73.33,2.00,47.37,0.00,0.00,288.00
WELLNESS INDIA,37850,th401,50.54,88.46,100.00,1.00,66.67,0.00,0.00,1.00
SACHDEVA MEDICALS (A UNIT OF AWPSPL) (MR-JHS-RWC),37907,th401,50.00,100.00,100.00,0.00,50.00,0.00,0.00,0.00
Samarth Life Sciences Private Limited,32350,th401,49.38,100.00,100.00,1.00,50.00,0.00,0.00,0.00
GURU NANAK MEDICOS PVT LTD,31284,th401,49.18,66.67,100.00,1.00,50.00,0.00,0.00,4.00
BALAJI PHARMATECH (A UNIT OF AWPSPL) Visakhapatnam,30139,th401,48.78,33.33,100.00,0.00,50.00,0.00,0.00,13.00
CIPLA HEALTH LTD.,31213,th401,45.95,73.33,100.00,1.00,57.14,0.00,0.00,12.00
JAGAT SINGH & SONS AGENCIES,31360,th401,44.89,50.00,52.94,4.00,11.11,0.00,0.00,79.00
DR. REDDYS LABORTRIES LTD.,31295,th401,44.60,66.89,76.15,2.00,4.35,0.00,0.00,450.00
NEW CHIEF MEDICAL AGENCY,31293,th401,44.51,52.20,100.00,1.00,9.52,40.00,0.00,96.00
MANKIND PHARMA LTD,31287,th401,43.89,61.85,72.83,3.00,4.00,0.00,0.00,659.00
SHREE SIMBA CHEMIST - MUMBAI (AWSPL),3566,th401,43.66,53.33,100.00,1.00,4.76,0.00,0.00,27.00
SACHDEVA MEDICALS,7825,th401,41.31,71.11,100.00,1.00,31.25,0.00,0.00,69.00
CIPLA PHARMA AND LIFE SCIENCES LIMITED,90849,th401,36.90,58.06,100.00,3.00,20.00,0.00,0.00,1.00
VAISHNAVI ENTERPRISES,73010,th401,36.21,38.46,100.00,1.00,33.33,0.00,0.00,0.00
FDC LIMITED,31226,th401,34.02,81.41,93.23,2.00,20.83,0.00,0.00,427.00
INDOCO REMEDIES LIMITED,31242,th401,32.46,51.06,54.76,4.00,7.14,0.00,0.00,67.00
Deergh Ayurveda,12348,th401,31.25,66.67,100.00,0.00,25.00,0.00,0.00,0.00
Avighna Medicare Private Limited,37111,th401,28.74,80.49,100.00,1.00,69.23,0.00,0.00,143.00
PFIZER PRODUCTS INDIA PRIVATE LIMITED,37558,th401,28.50,25.00,88.89,1.00,87.50,0.00,0.00,0.00
EKDANTA PHARMATECH (A UNIT OF AWPSPL) (MR-ISK-MID),37904,th401,23.17,66.67,100.00,0.00,0.00,0.00,0.00,1.00
RECKITT BENCKISER,31236,th401,22.22,47.50,100.00,3.30,0.00,0.00,0.00,25.00
Honasa Consumer Private Limited,2451,th401,21.76,35.71,100.00,0.00,0.00,0.00,0.00,26.00
MILTON GENERICS,5658,th401,16.50,18.12,37.04,6.00,20.00,0.00,0.00,3.00
ASHIRWAD DISTRIBUTORS (U/O AWPSPL) (AR-RPR-TSC),37887,th401,8.40,66.67,100.00,0.00,0.00,0.00,0.00,0.00
PHARMEASY WHOLESALE (A UNIT OF AWPSPL) (MR-VNS-GTR),37913,th401,6.87,66.67,100.00,0.00,0.00,0.00,0.00,3.00
Biological E Limited,9413,th401,4.62,22.22,0.00,5.00,0.00,0.00,0.00,17.00
Avighna Medicare Private Limited,9288,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
THREPSI SOLUTIONS PVT LTD - (MR-GGN),3440,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
MILFORD HEALTHCARE,9354,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EKDANTA PHARMATECH (NASHIK),29854,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HEALTH SAVER MEDICAL AND GENERAL STORES,32252,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASTRA ZENECA PHARMA INDIA LTD.,31229,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00
HYGIENIC RESEARCH INSTITUTE PRIVATE LIMITED,37141,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BIOCON BIOLOGICS LIMITED,31263,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00
DIAMOND PHARMACY,7131,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WOCKHARDT LIMITED [PUNJAB],31281,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
MY PURA VIDA WELLNESS PRIVATE LIMITED,32701,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
BLESSINGS HEALTHCARE PVT LTD.,31364,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
SAMARTH LIFE SCIENCES PRIVATE LIMITED,7085,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00
JUBILANT GENERICS LIMITED,31421,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DESAI PHARMA(A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PVT LTD),32262,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
JIVANSHATHI PHARMACEUTICAL,3086,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sunshine Pharmacy,30861,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DR REDDYS LABORATORIES LIMITED,2683,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
EMAMI LIMITED,2161,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GOPAL LIFESCIENCES,31227,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pharmeasy Wholesale (U/O AHWSPL),30072,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EVERYDAY ETHICAL GLOBAL LIMITED,32700,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MSD PHARMACEUTICALS PVT LTD.,31345,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NOVARTIS HEALTHCARE PRIVATE LIMITED,31357,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00
BALAJI PHARMATECH - (U/O AHWSPL),30094,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOYE PHARMACEUTICALS PRIVATE LIMITED,31256,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00
SINGLAMEDICOS PHARMA PRIVATE LIMITED,31259,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00
SAMSON LABORATORIES PVT.LTD.,31221,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"DR.M.DURAI KANNAN MBBS,DCH",90651,th401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DESAI PHARMA(A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PVT LTD),32262,th403,100.00,100.00,100.00,0.00,100.00,180.00,0.00,0.00
SACHDEVA MEDICALS,7825,th403,83.64,90.00,100.00,7.00,66.67,24324.00,0.00,0.00
SHREE SIMBA CHEMIST - MUMBAI (AWSPL),3566,th403,70.26,61.54,100.00,2.00,33.33,19563.00,0.00,0.00
Avighna Medicare Private Limited,9250,th403,42.37,49.83,100.00,1.00,28.57,110708.00,0.00,23.00
E.C. Agencies - A unit of Ascent Wellness and Pharma Solutions Private Limited,29157,th403,40.54,77.78,100.00,6.00,0.00,6381.00,0.00,1.00
EASTERN AGENCIES HEALTHCARE PRIVATE LIMITED,61,th403,33.33,100.00,100.00,2.00,33.33,8873.00,0.00,1.00
SRI ALAGU PHARMA (U/O AHWSPL),30509,th403,22.40,20.00,100.00,4.00,25.00,34750.00,0.00,0.00
MUTHU PHARMA- A UNIT OF ASCENT WELLNESS AND PHARMA ,31881,th403,17.59,27.97,98.75,2.00,7.41,827801.00,0.00,338.00
D. C. AGENCIES PRIVATE LIMITED (GHAZIPUR),13506,th403,13.49,84.62,100.00,6.00,14.29,3003.00,0.00,0.00
VPI MEDISALES - A UNIT OF ASCENT  WELLNESS AND PHARMA  SOLUTIONS PRIVATE LIMITED,31971,th403,4.02,10.46,100.00,3.00,0.00,11890.00,0.00,35.00
SUN PHARMA DISTRIBUTORS LTD,39386,th403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VARMA MEDICALS (PUDUCHERRY),30682,th403,0.00,0.00,0.00,0.00,0.00,7109.00,0.00,2.00
MILFORD HEALTHCARE,9354,th403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MANKIND PHARMA LIMITED,38082,th403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Avighna Medicare Private Limited,82453,th403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
MAX NOVA,9369,th403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CIPLA PHARMA AND LIFE SCIENCES LIMITED,90849,th403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
MILTON GENERICS,5658,th403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
MANKIND PHARMA LTD,3861,th403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DRK ENTERPRISES (UNIT OF VENKATESH MEDICO PVT LTD),29882,th403,0.00,0.00,0.00,0.00,0.00,741.00,0.00,0.00
Avighna Medicare Private Limited,37111,th403,0.00,0.00,0.00,0.00,0.00,1093.00,0.00,0.00
SHREEJI DISTRIBUTORS PHARMA PRIVATE LIMITED,12001,th405,100.00,100.00,100.00,1.00,100.00,0.00,0.00,0.00
VPI MEDISALES - A UNIT OF ASCENT  WELLNESS AND PHARMA  SOLUTIONS PRIVATE LIMITED,31971,th405,100.00,100.00,100.00,2.00,100.00,925.00,0.00,1.00
VARMA MEDICALS(U/O AWPSPL),12730,th405,100.00,100.00,100.00,0.00,100.00,1745.00,0.00,1.00
MUTHU PHARMA- A UNIT OF ASCENT WELLNESS AND PHARMA ,31881,th405,99.37,85.71,100.00,0.00,50.00,486.00,0.00,11.00
E.C. Agencies - A unit of Ascent Wellness and Pharma Solutions Private Limited,29157,th405,94.17,92.86,100.00,1.00,100.00,9419.00,0.00,3.00
RAJEEV MEDICO,38062,th405,71.49,75.42,100.00,2.00,60.00,9647.00,0.00,33.00
SHREE SIMBA CHEMIST - MUMBAI (AWSPL),3566,th405,70.01,91.26,31.37,9.00,50.00,46640.00,0.00,32.00
SACHDEVA MEDICALS (U/O AHWSPL) (Prayagraj),30096,th405,62.45,46.15,100.00,1.00,60.00,5724.00,0.00,8.00
DESAI PHARMA(A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PVT LTD),32262,th405,57.08,78.79,100.00,0.00,66.67,0.00,0.00,1.00
D C AGENCIES PRIVATE LIMITED,1989,th405,49.23,59.31,89.73,1.00,25.00,329293.00,0.00,417.00
ARYAN Wellness (P) Ltd.,1144,th405,43.36,66.90,96.49,3.00,23.29,1162842.00,0.00,1942.00
USV PRIVATE LIMITED,38152,th405,41.67,34.55,100.00,4.00,10.00,44108.00,0.00,13.00
ALKEM LABORATORIES LTD,39457,th405,32.20,38.60,100.00,0.00,40.00,81084.00,0.00,161.00
Avighna Medicare Private Limited,9250,th405,20.21,30.69,100.00,3.00,3.13,301319.00,0.00,719.00
SACHDEVA MEDICALS,7825,th405,16.83,21.52,100.00,1.00,20.00,33577.00,0.00,133.00
J.B.CHEMICALS & PHARMACEUTICALS LIMITED,39460,th405,16.07,38.10,100.00,3.00,0.00,8386.00,0.00,0.00
ASHIRWAD DISTRIBUTORS (A UNIT OF AWPSPL),9983,th405,14.84,30.00,100.00,1.00,0.00,0.00,0.00,0.00
ARYAN WELLNESS PRIVATE LIMITED(GURUGRAM),30727,th405,11.46,11.34,100.00,1.00,12.50,447653.00,0.00,136.00
Avighna Medicare Private Limited,82453,th405,9.41,50.00,100.00,0.00,33.33,0.00,0.00,5.00
ASHIRWAD DISTRIBUTORS (A UNIT OF AWPSPL),9981,th405,8.90,17.39,75.00,1.00,20.00,8236.00,0.00,11.00
D. C. AGENCIES PRIVATE LIMITED (GHAZIPUR),13506,th405,6.60,18.18,100.00,1.00,14.29,2012.00,0.00,9.00
 DR REDDYS LABORATORIES LIMITED  ,7453,th405,5.80,17.74,100.00,2.00,0.00,14848.00,0.00,55.00
B S ENTERPRISES (PATNA-PFIZER CFA),38092,th405,4.13,8.70,100.00,4.00,0.00,2866.00,0.00,1.00
AJANTA PHARMA LIMITED,39450,th405,3.46,9.68,0.00,7.00,0.00,7712.00,0.00,1.00
MANKIND PHARMA LTD,38061,th405,0.59,6.55,100.00,2.00,0.00,46406.00,0.00,75.00
Avighna Medicare Private Limited,37111,th405,0.00,0.00,0.00,0.00,0.00,3314.00,0.00,186.00
MILTON GENERICS,5658,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
AVIGHNA MEDICARE PRIVATE LIMITED,32663,th405,0.00,0.00,0.00,0.00,0.00,3081.00,0.00,16.00
S K M ENTERPRISES,38140,th405,0.00,0.00,0.00,0.00,0.00,3842.00,0.00,1.00
WALLACE PHARMACEUTICALS PVT. LTD.,39455,th405,0.00,0.00,0.00,0.00,0.00,6498.00,0.00,3.00
WELLNESS INDIA,37850,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D.C. AGENCIES PVT LTD MAYAPURI - DELHI,36759,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENCUBE ETHICALS PRIVATE LIMITED,39475,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
USV PRIVATE LIMITED,1943,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CIPLA PHARMA AND LIFE SCIENCES LIMITED,90849,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
ASPIRE PHARMA- JAMMU (AWSPL),31301,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
D C Agencies,104,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AARUSH TIRUPATI ENTERPRISE (A UNIT OF API HOLDINGS LIMITED) (MR-BLR-PNY),37678,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
USV PRIVATE LIMITED,30905,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Avighna Medicare Private Limited,9288,th405,0.00,0.00,0.00,0.00,0.00,1502930.00,0.00,8.00
AARNA MEDICOS,22533,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MILFORD HEALTHCARE,9354,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VARMA MEDICALS (PUDUCHERRY),30682,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SAMARTH LIFE SCIENCES PRIVATE LIMITED,6042,th405,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aarush Tirupati Enterprise (U/O API Holdings Ltd) (MR-KOL),6880,th405,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00
JAYA TRADING,39454,th405,0.00,0.00,0.00,0.00,0.00,384.00,0.00,0.00
AVIGHNA MEDICARE PVT LTD -KOLKATA,31397,th405,0.00,0.00,0.00,0.00,0.00,576.00,0.00,0.00
A.K.Pharma,30364,th405,0.00,0.00,0.00,0.00,0.00,730.00,0.00,0.00
THREPSI SOLUTIONS PVT LTD - (MR-GGN),3440,th405,0.00,0.00,0.00,0.00,0.00,1224.00,0.00,17.00
WOCKHARDT LIMIITED,39459,th405,0.00,0.00,0.00,0.00,0.00,1886.00,0.00,0.00
INDOCO REMEDIES LIMITED,39477,th405,0.00,0.00,0.00,0.00,0.00,2164.00,0.00,0.00
SHREE BALAJEE ENTERPRISES,39479,th405,0.00,0.00,0.00,0.00,0.00,2464.00,0.00,29.00
DESAI PHARMA DISTRIBUTORS PVT LTD -MUMBAI,66,th405,0.00,0.00,0.00,0.00,0.00,2770.00,0.00,1.00
ASHIRWAD DISTRIBUTORS (A UNIT OF AWPSPL) (MR-NAG-AMR),37894,th407,100.00,100.00,100.00,4.00,100.00,0.00,0.00,0.00
SURYA COMMERCIAL,90942,th407,100.00,100.00,100.00,3.00,100.00,0.00,0.00,0.00
ZORIN DISTRIBUTORS,38156,th407,100.00,100.00,100.00,0.00,100.00,1479.00,0.00,0.00
SRI ALAGU PHARMA (U/O AHWSPL),30509,th407,100.00,100.00,100.00,2.00,100.00,1842.00,0.00,0.00
KATYANI ENTERPRISES,38108,th407,100.00,100.00,100.00,3.00,100.00,15888.00,0.00,0.00
K .N. AGENCIES,60670,th407,100.00,100.00,100.00,0.00,100.00,34019.00,0.00,0.00
VIKAS ENTERPRISES,60678,th407,99.63,87.50,100.00,3.00,75.00,0.00,0.00,0.00
MUTHU PHARMA- A UNIT OF ASCENT WELLNESS AND PHARMA ,31881,th407,96.55,100.00,100.00,1.00,100.00,50101.00,0.00,2.00
SACHDEVA MEDICALS,7825,th407,96.25,93.33,71.43,4.00,50.00,44825.00,0.00,0.00
ARUN DISTRIBUTOR,90560,th407,93.27,85.71,67.74,1.50,50.00,0.00,0.00,0.00
SHREE SIMBA CHEMIST - MUMBAI (AWSPL),3566,th407,92.60,78.95,35.29,6.00,20.00,39599.00,0.00,0.00
MALOO PHARMACEUTICALS,38118,th407,86.42,27.27,100.00,3.00,55.56,15997.00,0.00,0.00
DESAI PHARMA(A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PVT LTD),32262,th407,85.44,50.00,100.00,1.00,0.00,50.00,0.00,0.00
KHATRI MEDICAL AGENCY,38109,th407,79.87,75.00,100.00,0.00,0.00,3376.00,0.00,0.00
D. C. AGENCIES PRIVATE LIMITED (GHAZIPUR),13506,th407,75.40,76.00,94.74,2.00,25.00,6844.00,0.00,1.00
Avighna Medicare Private Limited,82453,th407,70.18,61.90,76.79,3.00,57.89,0.00,0.00,0.00
MOKSH PHARMA,30116,th407,61.22,48.48,98.11,1.00,0.00,1836.00,0.00,12.00
AJANTA PHARMA LIMITED,38087,th407,58.53,61.29,72.50,4.00,15.38,12756.00,0.00,0.00
MANISH RAJ TRADERS,85720,th407,56.89,80.00,100.00,3.00,25.00,0.00,0.00,0.00
Avighna Medicare Private Limited,9250,th407,54.22,63.81,89.58,4.00,5.36,245350.00,0.00,5.00
RAKESH MEDICAL STORES,38138,th407,53.91,80.00,96.15,1.00,28.57,6863.00,0.00,0.00
RECKITT BENCKISER INDIA PRIVATE LIMITED,60690,th407,53.75,47.83,100.00,3.00,50.00,49464.00,0.00,0.00
SUDHIR CHEMIST,60676,th407,52.68,69.13,100.00,4.00,50.00,0.00,0.00,5.00
SAMARTH LIFE SCIENCES PVT LTD  (DEVPURI),60687,th407,51.92,87.50,41.67,8.00,0.00,30.00,0.00,0.00
PREMCHAND & COMPANY,38132,th407,51.86,64.91,100.00,2.00,0.00,26413.00,0.00,0.00
EKDANTA PHARMATECH (U/O AHWSPL) (MR-SLI),30112,th407,50.13,11.54,100.00,4.00,0.00,3023.00,0.00,0.00
E.C. Agencies - A unit of Ascent Wellness and Pharma Solutions Private Limited,29157,th407,48.12,87.50,100.00,6.00,0.00,8762.00,0.00,0.00
SVS LIFESCIENCES PRIVATE LIMITED,38149,th407,43.80,55.06,100.00,2.00,33.33,1814.00,0.00,0.00
SAI GANESH PHARMA,38142,th407,42.76,73.91,100.00,0.00,40.00,10688.00,0.00,0.00
AVIGHNA MEDICARE PRIVATE LIMITED,32663,th407,40.03,32.43,100.00,3.00,25.00,3112.00,0.00,1.00
JINDUTT DISTRIBUTORS [SYSTOPIC LABORATORIES],60671,th407,37.63,63.04,62.50,10.00,0.00,16428.00,0.00,0.00
BHARAT SALES,38095,th407,35.69,41.86,100.00,3.00,0.00,262315.00,0.00,0.00
MEYER ORGANICS PRIVATE LIMITED,60691,th407,34.69,63.33,100.00,3.00,12.50,2736.00,0.00,0.00
ENCUBE ETHICALS PRIVATE LIMITED,38243,th407,33.33,100.00,100.00,0.00,33.33,0.00,0.00,0.00
ASPIRE PHARMA- JAMMU (AWSPL),31301,th407,32.26,20.00,100.00,1.00,0.00,0.00,0.00,0.00
"DR. REDDY,S LABORATORIES LIMITED",38099,th407,32.07,5.80,100.00,3.00,11.11,21758.00,0.00,2.00
Deergh Ayurveda,12348,th407,30.00,62.50,0.00,17.00,0.00,0.00,0.00,0.00
RAJASHREE PHARMA,4727,th407,25.64,40.00,100.00,0.00,0.00,50.00,0.00,0.00
ZUVENTUS HEALTHCARE LIMITED,60692,th407,20.20,52.63,0.00,9.00,0.00,6843.00,0.00,0.00
GOLCHHA & COMPANY,38103,th407,18.00,38.16,100.00,0.00,33.33,44723.00,0.00,0.00
MILFORD HEALTHCARE,9354,th407,17.48,31.11,0.00,25.00,0.00,0.00,0.00,0.00
ARYAN Wellness (P) Ltd.,1144,th407,13.11,21.28,74.05,3.00,2.56,913074.00,0.00,82.00
HARIRAMANI & SONS,38104,th407,11.61,28.57,100.00,3.00,40.00,0.00,0.00,0.00
D C AGENCIES PRIVATE LIMITED,1989,th407,10.46,18.78,84.82,6.00,4.00,210101.00,0.00,4.00
SA PHARMA,31299,th407,8.46,20.00,100.00,1.00,0.00,0.00,0.00,1.00
J.B. CHEMICAL & PHARMACEUTICALA LIMITED,38106,th407,8.40,22.00,58.33,10.00,9.52,42235.00,0.00,0.00
LAXMI PHARMA,38113,th407,7.60,56.33,100.00,1.60,47.83,125381.00,0.00,0.00
CIPLA PHARMA AND LIFE SCIENCES LIMITED,90849,th407,5.61,24.31,100.00,0.00,25.00,0.00,0.00,0.00
RAJEEV MEDICAL AGENCIES,38136,th407,5.09,50.00,100.00,2.00,33.33,17131.00,0.00,0.00
EASTERN AGENCIES HEALTHCARE PRIVATE LIMITED,61,th407,0.19,40.00,100.00,2.00,33.33,18408.00,0.00,0.00
TOUCHSTONE SERVICES PRIVATE LIMITED,38150,th407,0.00,0.00,0.00,0.00,0.00,32725.00,0.00,0.00
KALINGA PHARMATECH (U/O AWPSPL) (MR-BBI-PAH),37888,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LUCKY PHARMA LOGISTICS PRIVATE LIMITED,29672,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
S A PHARMA,36999,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AJANTA PHARMA LIMITED,1695,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
THREPSI SOLUTIONS PVT LTD - (MR-GGN),3440,th407,0.00,0.00,0.00,0.00,0.00,1624.00,0.00,8.00
JAI KRISHNA PHARMA,789,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BALAJI PHARMATECH - (U/O AWPSPL) (AR-VGA-NTR),37880,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LAXMI PHARMA,8390,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MILTON GENERICS,5658,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LAXMI PHARMA,2336,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AVIGHNA MEDICARE PRIVATE LIMITED - NAGPUR,35843,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Avighna Medicare Private Limited,9288,th407,0.00,0.00,0.00,0.00,0.00,114324.00,0.00,0.00
HONASA CONSUMER LIMITED,108232,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BHAGAT ENTERPRISES,1134,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SACHDEVA MEDICALS (A UNIT OF AWPSPL) (MR-BEK-GBR),37906,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UNNATI MOTORS ( A DIVISION OF MICROPARK LOGISTICS PVT LTD),38029,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BANSAL DISTRIBUTORS PVT. LTD.,32639,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SAI GANESH PHARMA,88,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OM AGENCY,60669,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JOHNSON AND JOHNSON PRIVATE LIMITED,60649,th407,0.00,0.00,0.00,0.00,0.00,25138.00,0.00,0.00
MADHUVAN MEDICOS,37160,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NEELKANTH PHARMA LOGISTICS PRIVATE LIMITED,31845,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AAYUSH PHARMA  (U/O AWPSPL) (AR-GUW-LOK),37885,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENCUBE ETHICALS PRIVATE LIMITED,60665,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RECKITT BENCKISER INDIA PRIVATE LIMITED,60660,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZYDUS HEALTHCARE LIMITED,38158,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENCUBE ETHICALS PRIVATE LIMITED,90441,th407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHREYA LIFE SCIENCE PRIVATE LIMITED,60686,th407,0.00,0.00,0.00,0.00,0.00,1973.00,0.00,0.00
Avighna Medicare Private Limited,37111,th407,0.00,0.00,0.00,0.00,0.00,2212.00,0.00,1.00
JUBILANT GENERICS LIMITED,99,th407,0.00,0.00,0.00,0.00,0.00,2388.00,0.00,0.00
DRK ENTERPRISES (UNIT OF VENKATESH MEDICO PVT LTD),29882,th410,100.00,100.00,0.00,13.00,0.00,99314.00,0.00,37.00
ELBRIT LIFE SCIENCES PRIVATE LIMITED,119876,th410,97.84,96.00,100.00,0.00,100.00,0.00,0.00,0.00
TORRENT PHARMACEUTICALS LTD,39442,th410,95.36,87.59,0.25,10.00,25.00,399090.00,0.00,496.00
PFIZER PRODUCTS INDIA PRIVATE LIMITED,9916,th410,54.69,100.00,100.00,1.00,50.00,350.00,0.00,21.00
MACLEODS PHARMACEUTICALS LIMITED,2635,th410,45.47,66.20,44.21,12.40,20.00,23977.00,0.00,454.00
Avighna Medicare Private Limited,82453,th410,41.70,29.11,100.00,4.00,0.00,0.00,0.00,0.00
